"","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife","NumOfAPs"
"synapse",0.0245901639344262,0,0.0136612021857923,0.0655737704918033,0,0.00273224043715847,0,0.0327868852459016,0,0,0,0,0,0.114754098360656
"syncope",0.00152439024390244,0,0.00304878048780488,0.0518292682926829,0,0.00457317073170732,0,0.190548780487805,0,0,0,0,0,0.239329268292683
"tajo",0.0141176470588235,0,0.0188235294117647,0.0517647058823529,0,0.02,0,0.0882352941176471,0,0,0,0.00117647058823529,0,0.169411764705882
"tapestry",0.00368663594470046,0,0.0110599078341014,0.0497695852534562,0,0,0,0.0368663594470046,0,0,0,0,0,0.0870967741935484
"tez",0.0442477876106195,0,0.0154867256637168,0.0331858407079646,0,0.0243362831858407,0,0.0929203539823009,0,0,0,0,0,0.18141592920354
"tika",0.0113122171945701,0,0.0135746606334842,0.0723981900452489,0,0.00678733031674208,0,0,0,0,0,0,0,0.0904977375565611
"tiles",0,0,0,0.0797101449275362,0,0,0,0.0652173913043478,0,0,0,0,0,0.144927536231884
"tomcat",0.00931899641577061,0,0.0114695340501792,0.0738351254480287,0,0.0157706093189964,0,0.0630824372759857,0,0.0043010752688172,0,0.000716845878136201,0,0.149820788530466
"turbine",0.00591715976331361,0,0,0.0502958579881657,0,0.0502958579881657,0,0.130177514792899,0,0.0118343195266272,0,0,0,0.20414201183432
"tuscany",0.0202630643441166,0,0.0639886242445787,0.0540348382509776,0,0,0.000355492356914326,0.125133309633843,0,0,0,0,0,0.224671169569854
"uima",0.010655737704918,0.00163934426229508,0.0368852459016393,0.0573770491803279,0,0.0147540983606557,0,0.0450819672131148,0,0.00163934426229508,0,0,0,0.135245901639344
"whirr",0.0263157894736842,0,0,0.0394736842105263,0,0,0,0.0328947368421053,0,0,0,0,0,0.0921052631578947
